setid,"Temperature, K","MolaLity of 1-heptyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Cwuwk,288.15,0,101.3,999.099,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.0096,101.3,999.568,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.0113,101.3,999.656,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.0151,101.3,999.839,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.0226,101.3,1000.2,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.0306,101.3,1000.59,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.0384,101.3,1000.96,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.0571,101.3,1001.85,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.0778,101.3,1002.84,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.097,101.3,1003.74,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.1158,101.3,1004.62,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.1383,101.3,1005.67,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.1566,101.3,1006.51,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,288.15,0.174,101.3,1007.32,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0,101.3,998.203,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.0096,101.3,998.662,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.0113,101.3,998.746,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.0151,101.3,998.926,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.0226,101.3,999.279,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.0306,101.3,999.656,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.0384,101.3,1000.03,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.0571,101.3,1000.9,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.0778,101.3,1001.86,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.097,101.3,1002.74,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.1158,101.3,1003.6,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.1383,101.3,1004.63,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.1566,101.3,1005.45,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,293.15,0.174,101.3,1006.24,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0,101.3,997.043,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0.0096,101.3,997.491,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0.0113,101.3,997.574,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0.0151,101.3,997.75,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0.0226,101.3,998.097,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0.0306,101.3,998.464,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0.0384,101.3,998.827,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0.0571,101.3,999.682,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0.0778,101.3,1000.62,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
Cwuwk,298.15,0.097,101.3,1001.49,Sadeghi et al. (2010a),Density,Liquid,AADYJk,O,water,AAyMcz,CCCCCCC[n+]1ccn(C)c1.[Br-],1-heptyl-3-methylimidazolium bromide,,,
