setid,Weight fraction of heptane,Weight fraction of ethanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xBNRF,0,0,313.15,101,1356.95,Seoane et al. (2012c),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
xBNRF,0,0.099,313.15,101,1270.96,Seoane et al. (2012c),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
xBNRF,0,0.231,313.15,101,1161.07,Seoane et al. (2012c),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
xBNRF,0,0.328,313.15,101,1092.32,Seoane et al. (2012c),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
xBNRF,0,0.529,313.15,101,973.37,Seoane et al. (2012c),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
xBNRF,0,0.646,313.15,101,914.93,Seoane et al. (2012c),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
xBNRF,0,0.74,313.15,101,872.96,Seoane et al. (2012c),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
xBNRF,0,0.901,313.15,101,808.24,Seoane et al. (2012c),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
xBNRF,0,1,313.15,101,773.03,Seoane et al. (2012c),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
xBNRF,0.026,0.385,313.15,101,1033.62,Seoane et al. (2012c),Density,Liquid,AAIsrh,CCO,ethanol,AATOnt,CCCCCCC,heptane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
