setid,"Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Temperature, K","MolaLity of glycyl-L-valine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VImzb,0.05,288.15,0,101,1000.28,Yan et al. (2014a),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
VImzb,0.05,288.15,0.0203,101,1001.35,Yan et al. (2014a),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
VImzb,0.05,288.15,0.04017,101,1002.41,Yan et al. (2014a),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
VImzb,0.05,288.15,0.08023,101,1004.6,Yan et al. (2014a),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
VImzb,0.05,288.15,0.09994,101,1005.7,Yan et al. (2014a),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
VImzb,0.05,288.15,0.1193,101,1006.77,Yan et al. (2014a),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
VImzb,0.05,288.15,0.14,101,1007.91,Yan et al. (2014a),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
VImzb,0.05,288.15,0.1594,101,1009.01,Yan et al. (2014a),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
VImzb,0.05,288.15,0.1795,101,1010.15,Yan et al. (2014a),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
VImzb,0.05,293.15,0,101,999.54,Yan et al. (2014a),Density,Liquid,AAhacB,CC(C)[C@H](NC(=O)CN)C(=O)O,glycyl-L-valine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
