setid,"Temperature, K",Mole fraction of 1-methyl-1-propylpyrrolidinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fJpRC,298.15,0,101,997.06,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,298.15,0.0315,101,1060.85,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,298.15,0.0664,101,1111.9,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,298.15,0.0983,101,1147.67,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,298.15,0.1376,101,1178.4,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,298.15,0.1685,101,1196.91,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,298.15,0.2138,101,1217.36,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,298.15,0.2382,101,1225.96,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,298.15,0.27,101,1235.84,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,298.15,0.3143,101,1245.39,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,298.15,0.3535,101,1251.89,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,298.15,1,101,1260,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,303.15,0,101,995.65,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,303.15,0.0315,101,1058.76,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,303.15,0.0664,101,1109.17,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,303.15,0.0983,101,1144.55,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,303.15,0.1376,101,1175.05,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
fJpRC,303.15,0.1685,101,1193.47,Zawadzki et al. (2014),Density,Liquid,AADYJk,O,water,AAoBHs,CCC[N+]1(C)CCCC1.[Br-],1-methyl-1-propylpyrrolidinium bromide,,,
