setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dcbZW,288.15,0,101,789.18,Castro et al. (2016a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
dcbZW,288.15,0.1,101,852.68,Castro et al. (2016a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
dcbZW,288.15,0.2,101,901.6,Castro et al. (2016a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
dcbZW,288.15,0.3,101,941.78,Castro et al. (2016a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
dcbZW,288.15,0.4,101,976.37,Castro et al. (2016a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
dcbZW,288.15,0.5,101,1006.01,Castro et al. (2016a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
dcbZW,288.15,0.5998,101,1031.55,Castro et al. (2016a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
dcbZW,288.15,0.7,101,1053.83,Castro et al. (2016a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
dcbZW,288.15,0.7993,101,1072.97,Castro et al. (2016a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
dcbZW,288.15,0.9,101,1090.2,Castro et al. (2016a),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
