setid,"Temperature, K","MolaLity of (2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WwqVv,288.15,0.03345,101,1002.4,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,288.15,0.04292,101,1003.33,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,288.15,0.05242,101,1004.25,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,288.15,0.06149,101,1005.13,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,288.15,0.06879,101,1005.83,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,298.15,0.03109,101,1000.06,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,298.15,0.03846,101,1000.77,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,298.15,0.04489,101,1001.38,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,298.15,0.0504,101,1001.9,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
WwqVv,298.15,0.06184,101,1002.98,Hedwig and Hakin (2010),Density,Liquid,AADYJk,O,water,ABLQlP,[O-]C(=O)C(F)(F)F.CC(=O)N[C@@H](CCCNC(N)=[NH2+])C(N)=O,"(2S)-2-(acetylamino)-5-[(aminoiminomethyl)amino]pentanamide 2,2,2-trifluoroacetate",,,
