setid,"MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OmCWO,0,293.15,100,998.198,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0,298.15,100,996.781,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0,303.15,100,995.341,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0,308.15,100,993.797,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0,313.15,100,991.796,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0,318.15,100,989.831,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.01,293.15,100,998.677,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.01,298.15,100,997.372,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.01,303.15,100,995.942,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.01,308.15,100,994.311,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.01,313.15,100,992.493,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.01,318.15,100,990.447,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.03,293.15,100,998.982,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.03,298.15,100,997.769,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.03,303.15,100,996.343,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.03,308.15,100,994.715,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.03,313.15,100,992.869,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.03,318.15,100,990.791,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.05,293.15,100,999.542,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.05,298.15,100,998.292,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.05,303.15,100,996.949,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.05,308.15,100,995.253,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.05,313.15,100,993.373,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
OmCWO,0.05,318.15,100,991.336,Singh et al. (2023b),Density,Liquid,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,AADYJk,O,water,,,
