setid,"MolaLity of 1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vBelC,0,101,298.15,997.047,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.00881,101,298.15,997.328,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.01878,101,298.15,997.644,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.04142,101,298.15,998.337,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.08475,101,298.15,999.657,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.1045,101,298.15,1000.25,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.15033,101,298.15,1001.61,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.16876,101,298.15,1002.13,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.19248,101,298.15,1002.82,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.21151,101,298.15,1003.38,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.26606,101,298.15,1004.93,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.32613,101,298.15,1006.58,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.38567,101,298.15,1008.22,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.45282,101,298.15,1009.96,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.49276,101,298.15,1011.07,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
vBelC,0.56843,101,298.15,1013.01,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVho,CC(C)C[C@H](N)C(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methyl-1H-imidazol-3-ium L-leucinate,,,
