setid,"Temperature, K","Pressure, kPa","MolaLity of 1-ethyl-3-methylimidazolium ethyl sulfate, mol/kg",Solvent: Mole fraction of choline chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wvlTu,298.15,87.1,0,0.333,1186,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,298.15,87.1,0.0413,0.333,1188,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,298.15,87.1,0.0745,0.333,1188,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,298.15,87.1,0.1002,0.333,1188,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,298.15,87.1,0.1241,0.333,1188,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,298.15,87.1,0.1695,0.333,1188,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,298.15,87.1,0.2118,0.333,1189,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,303.15,87.1,0,0.333,1184,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,303.15,87.1,0.0413,0.333,1185,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,303.15,87.1,0.0745,0.333,1185,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,303.15,87.1,0.1002,0.333,1185,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,303.15,87.1,0.1241,0.333,1185,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,303.15,87.1,0.1695,0.333,1186,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,303.15,87.1,0.2118,0.333,1186,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
wvlTu,308.15,87.1,0,0.333,1181,Shekaari et al. (2020b),Density,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AAasxG,C[N+](C)(C)CCO.[Cl-],choline chloride,AARkmK,OCC(O)CO,glycerol
