setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium methyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RHIRj,298,0,101.3,811,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,298,0.05,101.3,849,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,298,0.284,101.3,999,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,298,0.459,101.3,1089,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,298,0.613,101.3,1157,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,298,0.768,101.3,1216,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,298,0.922,101.3,1268,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,298,1,101.3,1292,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,303,0,101.3,807,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,303,0.05,101.3,845,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,303,0.284,101.3,994,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,303,0.459,101.3,1085,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,303,0.613,101.3,1153,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,303,0.768,101.3,1212,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,303,0.922,101.3,1265,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,303,1,101.3,1289,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,308,0,101.3,803,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,308,0.05,101.3,841,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,308,0.284,101.3,990,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,308,0.459,101.3,1081,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,308,0.613,101.3,1149,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,308,0.768,101.3,1208,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,308,0.922,101.3,1261,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,308,1,101.3,1285,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,313,0,101.3,800,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,313,0.05,101.3,837,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,313,0.284,101.3,986,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,313,0.459,101.3,1077,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,313,0.613,101.3,1145,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,313,0.768,101.3,1205,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,313,0.922,101.3,1258,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
RHIRj,313,1,101.3,1282,Alkhaldi et al. (2017a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
