setid,"Temperature, K","Mole fraction of 1,2-ethanediol","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FrAdH,293.15,0.304,100,1217,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.406,100,1212,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.506,100,1206,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.597,100,1196,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.7,100,1182,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.792,100,1167,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.851,100,1156,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.899,100,1144,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.938,100,1134,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.972,100,1124,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.986,100,1118,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.992,100,1116,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.997,100,1113,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.999,100,1112,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,0.999,100,1113,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,293.15,1,100,1113,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.304,100,1213,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.406,100,1208,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.506,100,1202,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.597,100,1192,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.7,100,1179,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.792,100,1163,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.851,100,1152,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.899,100,1141,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.938,100,1130,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.972,100,1120,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.986,100,1114,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.992,100,1112,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.997,100,1109,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.999,100,1109,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,0.999,100,1109,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,298.15,1,100,1109,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.304,100,1208,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.406,100,1205,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.506,100,1199,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.597,100,1189,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.7,100,1175,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.792,100,1160,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.851,100,1148,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.899,100,1137,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.938,100,1126,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.972,100,1116,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.986,100,1111,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.992,100,1109,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.997,100,1106,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.999,100,1105,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,0.999,100,1105,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,303.15,1,100,1106,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.304,100,1208,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.406,100,1198,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.506,100,1192,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.597,100,1182,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.7,100,1168,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.792,100,1153,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.851,100,1142,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.899,100,1130,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.938,100,1120,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.972,100,1110,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.986,100,1104,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.992,100,1102,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.997,100,1099,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.999,100,1098,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,0.999,100,1099,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
FrAdH,313.15,1,100,1099,Nordness et al. (2021),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
