setid,"Temperature, K",Mole fraction of N-ethyl-N-methylmorpholinium glycolate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fTkYJ,298.15,0,100,997.1,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,298.15,0.0933,100,1128.6,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,298.15,0.1688,100,1170.3,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,298.15,0.2209,100,1186.5,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,298.15,0.288,100,1199.7,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,298.15,0.3907,100,1211.3,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,298.15,0.4809,100,1217.5,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,298.15,0.5793,100,1221.9,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,298.15,0.6669,100,1224.6,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,298.15,0.7573,100,1226.9,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,298.15,0.8256,100,1228,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,303.15,0,100,995.7,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,303.15,0.0933,100,1125.6,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,303.15,0.1688,100,1167,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,303.15,0.2209,100,1183.1,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,303.15,0.288,100,1196.3,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,303.15,0.3907,100,1207.9,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
fTkYJ,303.15,0.4809,100,1214.1,Krolikowska et al. (2017),Density,Liquid,AAnYvV,CC[N+]1(C)CCOCC1.O=C([O-])CO,N-ethyl-N-methylmorpholinium glycolate,AADYJk,O,water,,,
