setid,Mole fraction of cyclohexane,Mole fraction of benzene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
elvxC,0.0102,0.2696,303.15,101.3,10.669,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.0103,0.0487,303.15,101.3,11.487,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.0117,0.0285,303.15,101.3,11.588,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.0119,0,303.15,101.3,11.672,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.012,0.2427,303.15,101.3,11.146,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.0124,0.1923,303.15,101.3,11.145,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.0125,0.2017,303.15,101.3,10.749,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.0126,0.081,303.15,101.3,11.434,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.0129,0.1029,303.15,101.3,11.357,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.0135,0.1723,303.15,101.3,11.028,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.0137,0.143,303.15,101.3,11.141,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.0139,0.1332,303.15,101.3,11.201,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.0144,0.1538,303.15,101.3,11.006,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.0145,0.1173,303.15,101.3,11.231,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.2089,0.7698,303.15,101.3,8.398,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.2818,0.6999,303.15,101.3,8.316,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.3476,0.616,303.15,101.3,8.217,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.4052,0.5718,303.15,101.3,8.127,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.4914,0.4903,303.15,101.3,8.089,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.5255,0.4603,303.15,101.3,8.061,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.566,0.4241,303.15,101.3,8.027,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.6187,0.3813,303.15,101.3,7.975,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.6452,0.3347,303.15,101.3,7.929,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.7051,0.2925,303.15,101.3,7.897,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.7673,0.2327,303.15,101.3,7.839,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.8459,0.1523,303.15,101.3,7.787,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.901,0.0777,303.15,101.3,7.742,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
elvxC,0.9778,0,303.15,101.3,7.678,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
