setid,"MolaRity of N-(2-hydroxyethyl)-N,N-dimethylbutanaminium bromide, mol/dm3","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VBYuP,0.0991,101,298.15,999.2,Domanska et al. (2008d),Density,Liquid,AADYJk,O,water,AArZTv,CCCC[N+](C)(C)CCO.[Br-],"N-(2-hydroxyethyl)-N,N-dimethylbutanaminium bromide",,,
VBYuP,0.2494,101,298.15,1003.2,Domanska et al. (2008d),Density,Liquid,AADYJk,O,water,AArZTv,CCCC[N+](C)(C)CCO.[Br-],"N-(2-hydroxyethyl)-N,N-dimethylbutanaminium bromide",,,
VBYuP,0.4498,101,298.15,1009.9,Domanska et al. (2008d),Density,Liquid,AADYJk,O,water,AArZTv,CCCC[N+](C)(C)CCO.[Br-],"N-(2-hydroxyethyl)-N,N-dimethylbutanaminium bromide",,,
