setid,Mole fraction of 1-butyl-4-methylpyridinium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iKqsA,0.0223,101,298.15,2401.5,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.0413,101,298.15,2339.3,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.0711,101,298.15,2249,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.1279,101,298.15,2098.7,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.1973,101,298.15,1945.9,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.2813,101,298.15,1795.5,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.3935,101,298.15,1636.9,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.4601,101,298.15,1559.8,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.5262,101,298.15,1492.9,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.5918,101,298.15,1434.2,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.6688,101,298.15,1373.6,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.72,101,298.15,1337.57,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.7894,101,298.15,1293.03,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.8499,101,298.15,1257.94,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
iKqsA,0.9045,101,298.15,1228.83,Navas et al. (2011),Density,Liquid,AAhWtN,BrCBr,dibromomethane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate,,,
