setid,Solvent: Weight fraction of propan-1-ol,"MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IrlFd,0,0.00299,101,298.15,997.195,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.004,101,298.15,997.244,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.00496,101,298.15,997.292,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.00629,101,298.15,997.36,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.00731,101,298.15,997.405,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.00798,101,298.15,997.439,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.00898,101,298.15,997.477,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.00998,101,298.15,997.525,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.01501,101,298.15,997.719,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.01994,101,298.15,997.912,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.02498,101,298.15,998.108,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.02992,101,298.15,998.297,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.03502,101,298.15,998.493,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.03997,101,298.15,998.679,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
IrlFd,0,0.04499,101,298.15,998.875,Shirzad and Sadeghi (2014),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
