setid,"MolaLity of 1-ethyl-3-methylimidazolium L-valinate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
svoiM,0,101,298.15,997.047,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.01193,101,298.15,997.371,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.02106,101,298.15,997.607,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.08831,101,298.15,999.344,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.10823,101,298.15,999.85,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.14975,101,298.15,1000.87,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.17707,101,298.15,1001.56,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.19581,101,298.15,1002.01,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.21432,101,298.15,1002.45,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.26824,101,298.15,1003.72,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.32944,101,298.15,1005.17,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.39875,101,298.15,1006.74,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.44894,101,298.15,1007.88,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.51286,101,298.15,1009.29,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
svoiM,0.579,101,298.15,1010.74,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AArlDw,CC(C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium L-valinate,,,
