setid,"Temperature, K","MolaLity of N,N-dimethylbenzylammonium acetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ilzng,293.15,0,101.3,789.922,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,293.15,0.02435,101.3,790.894,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,293.15,0.06257,101.3,792.405,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,293.15,0.07241,101.3,792.791,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,293.15,0.10394,101.3,794.011,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,293.15,0.16161,101.3,796.193,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,293.15,0.21274,101.3,798.211,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,293.15,0.24488,101.3,799.41,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,293.15,0.29445,101.3,800.935,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,293.15,0.38265,101.3,804.08,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,293.15,0.43563,101.3,805.862,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,298.15,0,101.3,785.645,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
ilzng,298.15,0.02435,101.3,786.607,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
