setid,Mole fraction of ethanol,Mole fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VWASh,0.0408,0.9476,298.15,101,989,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.0467,0.554,298.15,101,1033.7,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.0502,0.9468,298.15,101,981.7,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.0504,0.944,298.15,101,983.3,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.052,0.8615,298.15,101,1008.4,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.0542,0.6594,298.15,101,1028.7,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.0549,0.7567,298.15,101,1021.6,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.0575,0.5585,298.15,101,1031.9,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.1008,0.8173,298.15,101,994.3,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
VWASh,0.1054,0.7163,298.15,101,1009.8,Gomez et al. (2006a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
