setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium hexafluorophosphate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kqJIn,293.15,0.02,101,998.3,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,293.15,0.04,101,999.5,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,293.15,0.06,101,1000.3,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,293.15,0.08,101,1003.3,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,298.15,0.02,101,997.1,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,298.15,0.04,101,998.2,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,298.15,0.06,101,1000,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,298.15,0.08,101,1002.3,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,303.15,0.02,101,995.7,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,303.15,0.04,101,996.9,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,303.15,0.06,101,998.8,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,303.15,0.08,101,1001.4,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,308.15,0.02,101,994.2,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,308.15,0.04,101,995,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,308.15,0.06,101,997.2,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,308.15,0.08,101,999.8,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,313.15,0.02,101,992.3,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,313.15,0.04,101,992.7,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,313.15,0.06,101,993.8,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
kqJIn,313.15,0.08,101,996.9,Sajid et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AADYJk,O,water,,,
