setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vgtHv,298.15,0,101,799.5,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,298.15,0.0267,101,819.1,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,298.15,0.0833,101,854.2,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,298.15,0.1849,101,903.16,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,298.15,0.2538,101,930.41,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,298.15,0.3429,101,959.02,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,298.15,0.4577,101,988.94,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,298.15,0.5868,101,1015.47,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,298.15,0.6791,101,1030.55,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,298.15,0.805,101,1048.1,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,298.15,0.9342,101,1063,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,298.15,1,101,1069.8,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,308.15,0,101,791.4,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,308.15,0.0267,101,811.2,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,308.15,0.0833,101,846.6,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,308.15,0.1849,101,895.99,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,308.15,0.2538,101,923.49,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,308.15,0.3429,101,952.34,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,308.15,0.4577,101,982.5,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
vgtHv,308.15,0.5868,101,1009.21,Domanska and Laskowska (2009b),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
