setid,"MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
znzbT,0,101.3,298.15,1095.3,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
znzbT,0.005147,101.3,298.15,1095.4,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
znzbT,0.00868,101.3,298.15,1095.5,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
znzbT,0.01336,101.3,298.15,1095.5,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
znzbT,0.01682,101.3,298.15,1095.6,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
znzbT,0.02087,101.3,298.15,1095.7,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
znzbT,0.02779,101.3,298.15,1095.8,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
znzbT,0.03347,101.3,298.15,1095.9,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
znzbT,0.04096,101.3,298.15,1096,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
znzbT,0.04462,101.3,298.15,1096.1,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
znzbT,0.05299,101.3,298.15,1096.2,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
