setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium octyl sulfate,Weight fraction of sodium sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZQmrH,292.15,0.8384,0.0006,101,1084.5,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,292.35,0.8384,0.0006,101,1084.4,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,292.55,0.8384,0.0006,101,1084.3,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,292.75,0.8384,0.0006,101,1084.2,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,292.95,0.8384,0.0006,101,1084.1,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,293.15,0.8384,0.0006,101,1084,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,294.15,0.8384,0.0006,101,1083.4,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,295.65,0.8384,0.0006,101,1082.1,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,298.15,0.8384,0.0006,101,1080.4,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,303.15,0.8384,0.0006,101,1076.9,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,308.15,0.8384,0.0006,101,1073.5,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,318.15,0.8384,0.0006,101,1066.5,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,328.15,0.8384,0.0006,101,1059.5,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
ZQmrH,338.15,0.8384,0.0006,101,1052.4,Cabeza et al. (2017),Density,Liquid,AADYJk,O,water,AAbQrY,O=S(=O)([O-])[O-].[Na+].[Na+],sodium sulfate,ABJgup,CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium octyl sulfate
