setid,Mole fraction of 1-methylimidazolium acetate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uOXBy,0,293.15,101.3,998.3,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.0323,293.15,101.3,1031.8,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.0441,293.15,101.3,1041.1,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.0575,293.15,101.3,1050.8,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.0793,293.15,101.3,1064.6,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.0965,293.15,101.3,1073.6,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.1177,293.15,101.3,1083.4,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.1309,293.15,101.3,1088.6,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.1593,293.15,101.3,1098.3,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.3041,293.15,101.3,1127.8,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.4902,293.15,101.3,1143.6,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.5723,293.15,101.3,1147.3,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.7155,293.15,101.3,1151.5,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.8661,293.15,101.3,1154.3,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,0.9295,293.15,101.3,1155.3,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
uOXBy,1,293.15,101.3,1156.1,Hou et al. (2011),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
