setid,"Temperature, K",Mole fraction of 3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mWZxk,298.15,0,100,777.7,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,298.15,0.01,100,825.6,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,298.15,0.1,100,1090.5,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,298.15,0.201,100,1258.4,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,298.15,0.3026,100,1361.3,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,298.15,0.4011,100,1426.7,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,298.15,1,100,1607.1,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,303.15,0,100,772.3,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,303.15,0.01,100,820.1,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
mWZxk,303.15,0.1,100,1085,Cai et al. (2020a),Density,Liquid,ABfHVl,C=C[n+]1ccn(CC(N)=O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-amino-2-oxoethyl)-1-vinylimidazolium bis(trifluoromethylsulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
