setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium L-lactate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xRZrO,298.15,0,101,997.1,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,298.15,0.1001,101,1042.3,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,298.15,0.2001,101,1061.4,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,298.15,0.2999,101,1075,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,298.15,0.3985,101,1083.6,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,298.15,0.5023,101,1090.3,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,298.15,0.6002,101,1095.7,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,298.15,0.6986,101,1099.8,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,298.15,0.8,101,1103.3,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,298.15,0.9001,101,1107.2,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,298.15,1,101,1111.2,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,308.15,0,101,994.1,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,308.15,0.1001,101,1039.4,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,308.15,0.2001,101,1058.3,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,308.15,0.2999,101,1071,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,308.15,0.3985,101,1079.1,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,308.15,0.5023,101,1085.4,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,308.15,0.6002,101,1090.2,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,308.15,0.6986,101,1093.5,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,308.15,0.8,101,1096.6,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,308.15,0.9001,101,1100.3,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,308.15,1,101,1104.2,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,318.15,0,101,990.2,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,318.15,0.1001,101,1036.4,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,318.15,0.2001,101,1055,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,318.15,0.2999,101,1066.6,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,318.15,0.3985,101,1074.1,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,318.15,0.5023,101,1080.2,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,318.15,0.6002,101,1084.3,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,318.15,0.6986,101,1087.4,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,318.15,0.8,101,1090.3,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,318.15,0.9001,101,1093.8,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
xRZrO,318.15,1,101,1097.7,Jiang et al. (2013),Density,Liquid,AADYJk,O,water,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
