setid,"Temperature, K","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","MolaLity of (.+-.)-.alpha.-aminobutyric acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ULqZi,288.15,0,0,101.3,999.1,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0,0.2006,101.3,1004.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0,0.4945,101.3,1012.5,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0,0.5944,101.3,1015,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0,0.6791,101.3,1017.1,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0,0.7812,101.3,1019.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0,0.8868,101.3,1022.2,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0,0.9902,101.3,1024.7,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.0493,0,101.3,1001.5,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.0493,0.2054,101.3,1007.2,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.0493,0.2925,101.3,1009.6,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.0493,0.4005,101.3,1012.4,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.0493,0.5058,101.3,1015.1,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.0493,0.6675,101.3,1019.3,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ULqZi,288.15,0.0493,0.7898,101.3,1022.3,Patyar et al. (2018),Density,Liquid,AATrxK,CCC(N)C(=O)O,(.+-.)-.alpha.-aminobutyric acid,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
