setid,"Temperature, K",Mole fraction of 1-methyl-3-pentyl-imidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
raqCZ,288.15,0.0549,101,1127.51,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,288.15,0.1148,101,1135.95,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,288.15,0.2053,101,1145.61,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,288.15,0.3086,101,1153.94,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,288.15,0.4154,101,1160.64,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,288.15,0.5063,101,1165.13,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,288.15,0.6273,101,1170.27,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,288.15,0.7138,101,1173.4,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,288.15,0.7982,101,1176.33,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,288.15,0.8985,101,1179.7,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,293.15,0.0549,101,1123.89,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,293.15,0.1148,101,1132.23,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,293.15,0.2053,101,1141.81,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,293.15,0.3086,101,1150.12,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,293.15,0.4154,101,1156.84,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,293.15,0.5063,101,1161.54,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,293.15,0.6273,101,1166.54,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,293.15,0.7138,101,1169.75,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,293.15,0.7982,101,1172.71,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,293.15,0.8985,101,1176.1,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,298.15,0.0549,101,1120.27,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,298.15,0.1148,101,1128.52,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
raqCZ,298.15,0.2053,101,1138.01,Pal et al. (2013),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAuISn,CCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-pentyl-imidazolium tetrafluoroborate,,,
