setid,Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SaCLs,0.0011,101,298.15,1096.21,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SaCLs,0.0024,101,298.15,1097.26,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SaCLs,0.0187,101,298.15,1109.73,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SaCLs,0.0321,101,298.15,1119.44,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SaCLs,0.0552,101,298.15,1135.09,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SaCLs,0.0635,101,298.15,1140.41,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SaCLs,0.0996,101,298.15,1161.89,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SaCLs,0.153,101,298.15,1189.47,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SaCLs,0.2381,101,298.15,1225.52,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SaCLs,0.3372,101,298.15,1258.28,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SaCLs,0.5586,101,298.15,1309.44,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SaCLs,0.7791,101,298.15,1342.9,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SaCLs,0.925,101,298.15,1359.3,Zafarani-Moattar and Majdan-Cegincara (2007),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
