setid,"Temperature, K",Mole fraction of 2-aminoethan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NCHby,288.15,0,101,1376,Geng et al. (2008a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
NCHby,288.15,0.1185,101,1361.5,Geng et al. (2008a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
NCHby,288.15,0.2113,101,1348.6,Geng et al. (2008a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
NCHby,288.15,0.3052,101,1332.8,Geng et al. (2008a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
NCHby,288.15,0.4282,101,1309.4,Geng et al. (2008a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
NCHby,288.15,0.4918,101,1295,Geng et al. (2008a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
NCHby,288.15,0.6161,101,1260.6,Geng et al. (2008a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
NCHby,288.15,0.6984,101,1231.4,Geng et al. (2008a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
NCHby,288.15,0.8022,101,1182.8,Geng et al. (2008a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
NCHby,288.15,0.9028,101,1116,Geng et al. (2008a),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
