setid,Mole fraction of benzene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Clrby,0,101,283.15,1534.04,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
Clrby,0.045,101,283.15,1524.46,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
Clrby,0.0962,101,283.15,1512.91,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
Clrby,0.1942,101,283.15,1487.82,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
Clrby,0.3038,101,283.15,1456.76,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
Clrby,0.4104,101,283.15,1419.28,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
Clrby,0.5024,101,283.15,1380.91,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
Clrby,0.6084,101,283.15,1325.01,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
Clrby,0.6993,101,283.15,1262.65,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
Clrby,0.7329,101,283.15,1235.91,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
Clrby,1,101,283.15,889.58,Gonzalez et al. (2015c),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
