setid,"Temperature, K",Mole ratio to solvent: 3-amino-1-propanol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mrPIw,293.15,4,101.3,961.4,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,293.15,6,101.3,967,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,293.15,8,101.3,970.5,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,298.15,4,101.3,958,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,298.15,6,101.3,963.4,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,298.15,8,101.3,966.9,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,303.15,4,101.3,954.6,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,303.15,6,101.3,959.9,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,303.15,8,101.3,963.2,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,308.15,4,101.3,951.3,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,308.15,6,101.3,956.4,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,308.15,8,101.3,959.6,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,313.15,4,101.3,947.9,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,313.15,6,101.3,952.9,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,313.15,8,101.3,956,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,318.15,4,101.3,944.6,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,318.15,6,101.3,949.4,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,318.15,8,101.3,952.4,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,323.15,4,101.3,941.2,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,323.15,6,101.3,945.9,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,323.15,8,101.3,948.8,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
mrPIw,328.15,4,101.3,937.8,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,
