setid,"Temperature, K","MolaLity of 1-hexyl-4-methylpyridinium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kaKah,288.15,0,100,999.097,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,288.15,0.0011,100,999.106,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,288.15,0.0018,100,999.113,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,288.15,0.0021,100,999.119,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,288.15,0.0036,100,999.129,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,288.15,0.0043,100,999.138,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,288.15,0.0065,100,999.156,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,298.15,0,100,997.043,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,298.15,0.0011,100,997.049,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,298.15,0.0018,100,997.053,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,298.15,0.0021,100,997.057,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,298.15,0.0036,100,997.069,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,298.15,0.0043,100,997.073,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,298.15,0.0065,100,997.088,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,308.15,0,100,994.038,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,308.15,0.0011,100,994.045,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,308.15,0.0018,100,994.051,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,308.15,0.0021,100,994.054,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,308.15,0.0036,100,994.067,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,308.15,0.0043,100,994.072,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
kaKah,308.15,0.0065,100,994.09,Mehrdad and Parvini (2019),Density,Liquid,AAxiEX,CCCCCC[n+]1ccc(C)cc1.[Br-],1-hexyl-4-methylpyridinium bromide,AADYJk,O,water,,,
