setid,"Temperature, K","Pressure, kPa",Mole fraction of carbon dioxide,"Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AsCLL,298.15,622.1,0.156,0.0002229,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,298.15,973.2,0.227,0.000207,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,298.15,1501.9,0.316,0.0001876,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,298.15,2270.4,0.418,0.0001653,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,298.15,2781.6,0.472,0.0001535,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,298.15,3321,0.523,0.0001427,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,298.15,4042.6,0.577,0.0001311,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,298.15,4610.4,0.615,0.0001231,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,298.15,4874,0.63,0.0001201,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,313.15,671.8,0.13,0.0002308,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,313.15,1053.2,0.192,0.0002169,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,313.15,1630.4,0.27,0.0001996,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,313.15,2447.1,0.364,0.0001791,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,313.15,3046.3,0.414,0.000168,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,313.15,3653.1,0.463,0.0001575,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,313.15,4479.5,0.515,0.0001462,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,313.15,5146.4,0.553,0.0001381,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
AsCLL,313.15,5463.8,0.567,0.0001352,Makino et al. (2014c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
