setid,Mole fraction of butanone,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LNNaN,0.0488,100,298.15,899.4,Lee et al. (2017),Density,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
LNNaN,0.1,100,298.15,898.9,Lee et al. (2017),Density,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
LNNaN,0.1993,100,298.15,897.4,Lee et al. (2017),Density,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
LNNaN,0.2996,100,298.15,895.6,Lee et al. (2017),Density,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
LNNaN,0.4001,100,298.15,893.2,Lee et al. (2017),Density,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
LNNaN,0.4996,100,298.15,889.9,Lee et al. (2017),Density,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
LNNaN,0.5996,100,298.15,885.2,Lee et al. (2017),Density,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
LNNaN,0.7,100,298.15,878.4,Lee et al. (2017),Density,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
LNNaN,0.8,100,298.15,867.6,Lee et al. (2017),Density,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
LNNaN,0.9,100,298.15,847.5,Lee et al. (2017),Density,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
LNNaN,0.9501,100,298.15,829.3,Lee et al. (2017),Density,Liquid,AANtck,CCC(C)=O,butanone,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,
