setid,"Temperature, K",Mole fraction of copper monochloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BbwGl,298.15,0.332,101.3,1364.5,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,298.15,0.4,101.3,1384.7,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,298.15,0.498,101.3,1515.3,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,298.15,0.604,101.3,1689.5,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,298.15,0.666,101.3,1873.1,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,303.15,0.332,101.3,1360.7,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,303.15,0.4,101.3,1380.5,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,303.15,0.498,101.3,1509.9,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,303.15,0.604,101.3,1684.1,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,303.15,0.666,101.3,1866.9,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,308.15,0.332,101.3,1356.9,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,308.15,0.4,101.3,1376.3,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
BbwGl,308.15,0.498,101.3,1504.5,Bolkan and Yoke (1986),Density,Liquid,AATBts,Cl[Cu],copper monochloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
