setid,"Temperature, K",Mole fraction of methanol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dTCaE,298.15,0,101,1008.8,Gonzalez et al. (2006),Density,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
dTCaE,298.15,0.0565,101,1006.9,Gonzalez et al. (2006),Density,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
dTCaE,298.15,0.1686,101,1002.4,Gonzalez et al. (2006),Density,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
dTCaE,298.15,0.2638,101,997.7,Gonzalez et al. (2006),Density,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
dTCaE,298.15,0.3525,101,992.1,Gonzalez et al. (2006),Density,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
dTCaE,298.15,0.4395,101,985.4,Gonzalez et al. (2006),Density,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
dTCaE,298.15,0.5589,101,973.3,Gonzalez et al. (2006),Density,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
dTCaE,298.15,0.7536,101,939.2,Gonzalez et al. (2006),Density,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
dTCaE,298.15,0.8231,101,918.05,Gonzalez et al. (2006),Density,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
dTCaE,298.15,0.8713,101,897.37,Gonzalez et al. (2006),Density,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
dTCaE,298.15,0.8813,101,892.18,Gonzalez et al. (2006),Density,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
dTCaE,298.15,0.9236,101,866.28,Gonzalez et al. (2006),Density,Liquid,AAGIBL,CO,methanol,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
