setid,"Temperature, K","MolaLity of tributyl(ethyl)phosphonium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aVxkq,293.15,0,100,782.312,Xu et al. (2021a),Density,Liquid,ABJJwe,CCCC[P+](CC)(CCCC)CCCC.F[B-](F)(F)F,tributyl(ethyl)phosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aVxkq,293.15,0.0995,100,788.999,Xu et al. (2021a),Density,Liquid,ABJJwe,CCCC[P+](CC)(CCCC)CCCC.F[B-](F)(F)F,tributyl(ethyl)phosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aVxkq,293.15,0.2009,100,795.459,Xu et al. (2021a),Density,Liquid,ABJJwe,CCCC[P+](CC)(CCCC)CCCC.F[B-](F)(F)F,tributyl(ethyl)phosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aVxkq,293.15,0.2968,100,801.277,Xu et al. (2021a),Density,Liquid,ABJJwe,CCCC[P+](CC)(CCCC)CCCC.F[B-](F)(F)F,tributyl(ethyl)phosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aVxkq,293.15,0.3964,100,807.028,Xu et al. (2021a),Density,Liquid,ABJJwe,CCCC[P+](CC)(CCCC)CCCC.F[B-](F)(F)F,tributyl(ethyl)phosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aVxkq,293.15,0.4967,100,812.565,Xu et al. (2021a),Density,Liquid,ABJJwe,CCCC[P+](CC)(CCCC)CCCC.F[B-](F)(F)F,tributyl(ethyl)phosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aVxkq,293.15,0.5882,100,817.39,Xu et al. (2021a),Density,Liquid,ABJJwe,CCCC[P+](CC)(CCCC)CCCC.F[B-](F)(F)F,tributyl(ethyl)phosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aVxkq,293.15,0.6997,100,822.982,Xu et al. (2021a),Density,Liquid,ABJJwe,CCCC[P+](CC)(CCCC)CCCC.F[B-](F)(F)F,tributyl(ethyl)phosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aVxkq,293.15,0.7977,100,827.73,Xu et al. (2021a),Density,Liquid,ABJJwe,CCCC[P+](CC)(CCCC)CCCC.F[B-](F)(F)F,tributyl(ethyl)phosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
aVxkq,293.15,0.888,100,831.915,Xu et al. (2021a),Density,Liquid,ABJJwe,CCCC[P+](CC)(CCCC)CCCC.F[B-](F)(F)F,tributyl(ethyl)phosphonium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
