setid,"Temperature, K",Mole fraction of methanol,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qcXmj,353.15,0.8218,1022.81,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,353.15,0.8447,1001.33,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,353.15,0.8739,969.81,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,353.15,0.9334,885.05,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,353.15,0.9729,805.88,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,353.15,0.9873,769.73,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,353.15,0.9931,753.57,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,353.15,0.9966,743.16,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,353.15,1,732.23,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,373.15,0.519,1156.52,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,373.15,0.6999,1087.57,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,373.15,0.8218,1004.21,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,373.15,0.8447,982.32,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,373.15,0.8739,950.28,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,373.15,0.9334,864.18,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,373.15,0.9729,784.51,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,373.15,0.9873,748.23,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
qcXmj,373.15,0.9931,732.01,Safarov and Guluzade (2022),Density,Liquid,Gas,,43,AAGIBL,CO,methanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate
