setid,"MolaLity of 1,2-bis(dimethyldodecylammonium)ethane dibromide, mol/kg","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fuYKc,0,0,102,298.15,997.034,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ACOKCq,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"1,2-bis(dimethyldodecylammonium)ethane dibromide",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fuYKc,0,0,102,298.15,997.038,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ACOKCq,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"1,2-bis(dimethyldodecylammonium)ethane dibromide",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fuYKc,0,0,102,298.15,997.04,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ACOKCq,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"1,2-bis(dimethyldodecylammonium)ethane dibromide",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fuYKc,0,0,102,298.15,997.04,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ACOKCq,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"1,2-bis(dimethyldodecylammonium)ethane dibromide",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fuYKc,0,0,102,298.15,997.04,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ACOKCq,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"1,2-bis(dimethyldodecylammonium)ethane dibromide",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fuYKc,0,0,102,298.15,997.04,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ACOKCq,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"1,2-bis(dimethyldodecylammonium)ethane dibromide",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fuYKc,0,0,102,298.15,997.04,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ACOKCq,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"1,2-bis(dimethyldodecylammonium)ethane dibromide",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fuYKc,0,0,102,298.15,997.04,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ACOKCq,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"1,2-bis(dimethyldodecylammonium)ethane dibromide",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fuYKc,0,0,102,298.15,997.041,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ACOKCq,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"1,2-bis(dimethyldodecylammonium)ethane dibromide",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
fuYKc,0,0,102,298.15,997.042,Yin et al. (2015),Density,Liquid,AADYJk,O,water,ACOKCq,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],"1,2-bis(dimethyldodecylammonium)ethane dibromide",ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
