setid,"Mole fraction of 1,2-dimethylbenzene","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WpMQg,0,101,283.15,1503.1,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
WpMQg,0.051,101,283.15,1489.97,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
WpMQg,0.1001,101,283.15,1476.37,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
WpMQg,0.1983,101,283.15,1446.67,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
WpMQg,0.2975,101,283.15,1412.46,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
WpMQg,0.4008,101,283.15,1370.83,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
WpMQg,0.5039,101,283.15,1322.74,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
WpMQg,0.566,101,283.15,1289.58,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
WpMQg,0.6025,101,283.15,1268.38,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
WpMQg,1,101,283.15,888.1,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABZTcB,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
