setid,Solvent: Weight fraction of 2-ethoxyethan-1-ol,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DSbFi,0.1,288.15,0,101,1000.1,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.00104,101,1000,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.00216,101,1000,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.00309,101,1000,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.00397,101,1000,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.00504,101,1000,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.00596,101,1000.1,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.00715,101,1000.1,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.00838,101,1000.1,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.00935,101,1000.2,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.01029,101,1000.2,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.01105,101,1000.2,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.01231,101,1000.2,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.01319,101,1000.3,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.01458,101,1000.3,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,288.15,0.01578,101,1000.4,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0,101,997.3,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.00104,101,997.2,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.00216,101,997.2,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.00309,101,997.2,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.00397,101,997.2,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.00504,101,997.3,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.00596,101,997.3,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.00715,101,997.3,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.00838,101,997.4,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.00935,101,997.4,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.01029,101,997.4,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.01105,101,997.4,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.01231,101,997.4,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.01319,101,997.5,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.01458,101,997.5,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,298.15,0.01578,101,997.5,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,308.15,0,101,993.5,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,308.15,0.00104,101,993.5,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,308.15,0.00216,101,993.5,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,308.15,0.00309,101,993.5,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,308.15,0.00397,101,993.6,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,308.15,0.00504,101,993.6,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,308.15,0.00596,101,993.6,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,308.15,0.00715,101,993.6,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,308.15,0.00838,101,993.7,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
DSbFi,0.1,308.15,0.00935,101,993.7,Kumar et al. (2016),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
