setid,"Temperature, K","MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jBCLR,298.15,0.01002,101,997.102,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.02002,101,997.152,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.0299,101,997.193,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.04014,101,997.247,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.04997,101,997.292,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.05941,101,997.345,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.07869,101,997.436,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.09916,101,997.539,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.1208,101,997.638,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.1388,101,997.729,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.1512,101,997.788,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.1705,101,997.874,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.1847,101,997.919,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.1992,101,998.012,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.2401,101,998.188,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.2707,101,998.307,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.3017,101,998.443,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.3402,101,998.585,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,298.15,0.385,101,998.763,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.01002,101,994.066,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.02002,101,994.094,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.0299,101,994.12,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.04014,101,994.15,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.05,101,994.172,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.05941,101,994.204,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.07869,101,994.26,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.09916,101,994.313,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.1208,101,994.376,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.1388,101,994.423,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.1512,101,994.465,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.1705,101,994.517,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.1847,101,994.552,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.1992,101,994.6,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
jBCLR,308.15,0.2401,101,994.712,De Lisi et al. (1990a),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AADYJk,O,water,,,
