setid,"Temperature, K","MolaLity of methyltributylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HLPVs,293.15,0,101.3,998.2,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,293.15,0.019,101.3,999.6,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,293.15,0.04,101.3,1000.3,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,293.15,0.059,101.3,1002.5,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,293.15,0.08,101.3,1003.4,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,298.15,0,101.3,997,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,298.15,0.019,101.3,997.9,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,298.15,0.04,101.3,999,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,298.15,0.059,101.3,1000.1,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,298.15,0.08,101.3,1002.3,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,303.15,0,101.3,995.6,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,303.15,0.019,101.3,996.4,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,303.15,0.04,101.3,998,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,303.15,0.059,101.3,999.2,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,303.15,0.08,101.3,1000.4,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,308.15,0,101.3,994,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,308.15,0.019,101.3,995.1,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,308.15,0.04,101.3,996.1,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,308.15,0.059,101.3,997.3,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,308.15,0.08,101.3,998.9,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,313.15,0,101.3,992.2,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,313.15,0.019,101.3,993.2,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,313.15,0.04,101.3,994.8,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,313.15,0.059,101.3,995.1,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
HLPVs,313.15,0.08,101.3,996.8,Sharma et al. (2022b),Density,Liquid,AAtSLY,CCCC[N+](C)(CCCC)CCCC.[Cl-],methyltributylammonium chloride,AADYJk,O,water,,,
