setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium diethyl phosphate,Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
otKNu,293.15,0.1,0.451,100,939,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,293.15,0.2,0.4,100,958,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,293.15,0.3005,0.3505,100,985,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,293.15,0.401,0.3,100,1006,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,293.15,0.5013,0.2497,100,1033,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,293.15,0.6002,0.2008,100,1061,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,293.15,0.7002,0.1498,100,1088,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,293.15,0.8012,0.0998,100,1118,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,293.15,0.9001,0.0499,100,1137,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,298.15,0.1,0.451,100,936,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,298.15,0.2,0.4,100,955,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,298.15,0.3005,0.3505,100,981,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,298.15,0.401,0.3,100,1002,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
otKNu,298.15,0.5013,0.2497,100,1028,Normazlan et al. (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AADYJk,O,water,AAyqRj,CCOP(=O)([O-])OCC.CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium diethyl phosphate
