setid,Mole fraction of 2-methoxyethylammonium nitrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WQYxt,0,298.15,101,1028.25,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
WQYxt,0.053,298.15,101,1044.9,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
WQYxt,0.109,298.15,101,1061.24,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
WQYxt,0.173,298.15,101,1078.65,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
WQYxt,0.208,298.15,101,1087.71,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
WQYxt,0.367,298.15,101,1125.26,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
WQYxt,0.448,298.15,101,1142.99,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
WQYxt,0.564,298.15,101,1167,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
WQYxt,0.67,298.15,101,1188.5,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
WQYxt,0.694,298.15,101,1193.5,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
WQYxt,0.873,298.15,101,1228.4,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
WQYxt,0.963,298.15,101,1246,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
WQYxt,1,298.15,101,1253.2,Usula et al. (2014),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAadLM,COCC[NH3+].O=[N+]([O-])[O-],2-methoxyethylammonium nitrate,,,
