setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Solvent: MolaLity of L-methionine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cJbcm,293.15,0,0.01,101,998.78,Sharma and Chauhan (2014),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
cJbcm,293.15,0,0.05,101,1000.68,Sharma and Chauhan (2014),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
cJbcm,293.15,0,0.1,101,1002.76,Sharma and Chauhan (2014),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
cJbcm,293.15,0.003,0.01,101,998.867,Sharma and Chauhan (2014),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
cJbcm,293.15,0.003,0.05,101,1000.66,Sharma and Chauhan (2014),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
cJbcm,293.15,0.003,0.1,101,1002.84,Sharma and Chauhan (2014),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
cJbcm,293.15,0.006,0.01,101,998.923,Sharma and Chauhan (2014),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
cJbcm,293.15,0.006,0.05,101,1000.73,Sharma and Chauhan (2014),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
cJbcm,293.15,0.006,0.1,101,1002.89,Sharma and Chauhan (2014),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
cJbcm,293.15,0.009,0.01,101,998.985,Sharma and Chauhan (2014),Density,Liquid,AAckyA,CSCC[C@H](N)C(=O)O,L-methionine,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
