setid,"Temperature, K","Pressure, kPa","Mole fraction of 3,4-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rbgTe,293.15,100.5,0.629,1445.4,Yue et al. (2018c),Density,Liquid,ABchff,CCC[n+]1cc(C)n(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,4-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABchkx,CCC[n+]1cn(C)cc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,5-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
rbgTe,303.15,100.5,0.629,1435.6,Yue et al. (2018c),Density,Liquid,ABchff,CCC[n+]1cc(C)n(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,4-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABchkx,CCC[n+]1cn(C)cc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,5-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
rbgTe,313.15,100.5,0.629,1425.9,Yue et al. (2018c),Density,Liquid,ABchff,CCC[n+]1cc(C)n(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,4-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABchkx,CCC[n+]1cn(C)cc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,5-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
rbgTe,323.15,100.5,0.629,1416.3,Yue et al. (2018c),Density,Liquid,ABchff,CCC[n+]1cc(C)n(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,4-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABchkx,CCC[n+]1cn(C)cc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,5-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
rbgTe,333.15,100.5,0.629,1406.9,Yue et al. (2018c),Density,Liquid,ABchff,CCC[n+]1cc(C)n(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,4-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABchkx,CCC[n+]1cn(C)cc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,5-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
rbgTe,343.15,100.5,0.629,1397.3,Yue et al. (2018c),Density,Liquid,ABchff,CCC[n+]1cc(C)n(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,4-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABchkx,CCC[n+]1cn(C)cc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,5-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
rbgTe,353.15,100.5,0.629,1387.9,Yue et al. (2018c),Density,Liquid,ABchff,CCC[n+]1cc(C)n(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,4-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABchkx,CCC[n+]1cn(C)cc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,5-dimethyl-1-propylimidazolium bis((trifluoromethyl)sulfonyl)amide",,,
