setid,"MolaLity of guanidinium sulfate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kKajm,0.0067,298,101,998.36,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
kKajm,0.0378,298,101,1004.4,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
kKajm,0.0763,298,101,1011.9,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
kKajm,0.0945,298,101,1015.4,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
kKajm,0.2348,298,101,1042.1,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
kKajm,0.4398,298,101,1080.1,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
kKajm,0.6587,298,101,1119.3,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
kKajm,0.8037,298,101,1144.6,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
kKajm,0.9927,298,101,1176.6,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
kKajm,1.2398,298,101,1217,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
kKajm,1.8742,298,101,1312.5,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
kKajm,2.239,298,101,1362.1,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
kKajm,2.982,298,101,1451.3,Kumar (2001),Density,Liquid,AApejX,NC(N)=[NH2+].NC(N)=[NH2+].O=S(=O)([O-])[O-],guanidinium sulfate,AADYJk,O,water,,,
