setid,"Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","Temperature, K","MolaLity of L-alanyl-L-glutamine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IFMMu,0,298.15,0.0401,101.3,999.958,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,298.15,0.08086,101.3,1002.88,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,298.15,0.1012,101.3,1004.32,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,298.15,0.148,101.3,1007.6,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,298.15,0.2002,101.3,1011.18,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,298.15,0.2448,101.3,1014.23,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,298.15,0.2993,101.3,1017.77,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,303.15,0.0401,101.3,998.464,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,303.15,0.08086,101.3,1001.38,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
IFMMu,0,303.15,0.1012,101.3,1002.82,Yan et al. (2011),Density,Liquid,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water,AApoWU,C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,L-alanyl-L-glutamine
