setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium dimethyl phosphate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YLObv,293.15,0,100,790,Krolikowska et al. (2023),Density,Liquid,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",AAIsrh,CCO,ethanol,,,
YLObv,293.15,0.0201,100,821,Krolikowska et al. (2023),Density,Liquid,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",AAIsrh,CCO,ethanol,,,
YLObv,293.15,0.0402,100,848,Krolikowska et al. (2023),Density,Liquid,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",AAIsrh,CCO,ethanol,,,
YLObv,293.15,0.0803,100,896,Krolikowska et al. (2023),Density,Liquid,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",AAIsrh,CCO,ethanol,,,
YLObv,293.15,0.1005,100,918,Krolikowska et al. (2023),Density,Liquid,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",AAIsrh,CCO,ethanol,,,
YLObv,293.15,0.1193,100,936,Krolikowska et al. (2023),Density,Liquid,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",AAIsrh,CCO,ethanol,,,
YLObv,293.15,0.1597,100,972,Krolikowska et al. (2023),Density,Liquid,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",AAIsrh,CCO,ethanol,,,
YLObv,293.15,0.2006,100,1004,Krolikowska et al. (2023),Density,Liquid,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",AAIsrh,CCO,ethanol,,,
YLObv,293.15,0.3005,100,1066,Krolikowska et al. (2023),Density,Liquid,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",AAIsrh,CCO,ethanol,,,
YLObv,293.15,0.4031,100,1116,Krolikowska et al. (2023),Density,Liquid,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",AAIsrh,CCO,ethanol,,,
YLObv,293.15,0.4996,100,1151,Krolikowska et al. (2023),Density,Liquid,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",AAIsrh,CCO,ethanol,,,
