setid,"MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wDXUP,0,101,298.15,799.56,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
wDXUP,0.0143,101,298.15,800.67,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
wDXUP,0.0306,101,298.15,801.88,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
wDXUP,0.0484,101,298.15,803.19,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
wDXUP,0.0967,101,298.15,806.67,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
wDXUP,0.1397,101,298.15,809.68,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
wDXUP,0.1555,101,298.15,810.79,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
wDXUP,0.196,101,298.15,813.58,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
wDXUP,0.2305,101,298.15,815.9,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
wDXUP,0.3174,101,298.15,821.71,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
wDXUP,0.3896,101,298.15,826.42,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
wDXUP,0.4935,101,298.15,833.01,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
wDXUP,0.5887,101,298.15,838.85,Wang et al. (2015),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,
