setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZbjrT,0.0459,101,298.15,826.83,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
ZbjrT,0.0892,101,298.15,862.39,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
ZbjrT,0.182,101,298.15,921.09,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
ZbjrT,0.2506,101,298.15,953.75,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
ZbjrT,0.2965,101,298.15,972,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
ZbjrT,0.3677,101,298.15,996.08,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
ZbjrT,0.4214,101,298.15,1011.52,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
ZbjrT,0.4798,101,298.15,1026.24,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
ZbjrT,0.5028,101,298.15,1031.53,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
ZbjrT,0.6166,101,298.15,1054.39,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
ZbjrT,0.7089,101,298.15,1069.7,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
ZbjrT,0.7558,101,298.15,1076.59,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
ZbjrT,0.8697,101,298.15,1091.33,Arce et al. (2006b),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
