setid,"Temperature, K","MolaLity of 1-butyl-1-methylpyrrolidinium dicyanamide, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qLQSp,288.15,0.01538,100,0.117,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,288.15,0.03088,100,0.234,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,288.15,0.04839,100,0.36,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,288.15,0.0703,100,0.514,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,288.15,0.08129,100,0.589,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,288.15,0.09073,100,0.647,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,288.15,0.1016,100,0.725,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,293.15,0.01007,100,0.068,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,293.15,0.01538,100,0.103,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,293.15,0.03088,100,0.202,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,293.15,0.04839,100,0.308,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,293.15,0.0703,100,0.436,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,293.15,0.09073,100,0.546,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.01007,100,0.056,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
qLQSp,298.15,0.01538,100,0.085,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAoDPb,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,,,
