setid,"Temperature, K","Solvent: MolaLity of 1-phenylpiperazinium tetrafluoroborate, mol/kg","MolaLity of L-proline, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xtXZy,298.15,0.025,0.0499,100,1000.54,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.025,0.0999,100,1002.13,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.025,0.1499,100,1003.71,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.025,0.1999,100,1005.25,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.025,0.2499,100,1006.79,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.025,0.2999,100,1008.34,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.025,0.35,100,1009.88,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.025,0.4,100,1011.34,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.055,0.0499,100,1002.54,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.055,0.0999,100,1004.13,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.055,0.1499,100,1005.71,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.055,0.1999,100,1007.26,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.055,0.2499,100,1008.83,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.055,0.2999,100,1010.32,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.055,0.35,100,1011.87,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
xtXZy,298.15,0.055,0.3999,100,1013.34,Xie et al. (2016a),Density,Liquid,AAWHtT,O=C(O)[C@@H]1CCCN1,L-proline,AADYJk,O,water,AAwEEb,F[B-](F)(F)F.c1ccc([NH+]2CCNCC2)cc1,1-phenylpiperazinium tetrafluoroborate
