setid,"Moles per mass of solution: tetraethylammonium perchlorate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OXpdG,0,100,298.15,936.357,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
OXpdG,0.0379,100,298.15,938.517,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
OXpdG,0.04565,100,298.15,938.962,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
OXpdG,0.05694,100,298.15,939.607,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
OXpdG,0.06599,100,298.15,940.127,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
OXpdG,0.08012,100,298.15,940.932,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
OXpdG,0.09523,100,298.15,941.8,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
OXpdG,0.11407,100,298.15,942.867,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
OXpdG,0.13128,100,298.15,943.843,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
OXpdG,0.15249,100,298.15,945.065,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
OXpdG,0.18718,100,298.15,947.015,Krakowiak et al. (2001),Density,Liquid,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
