setid,"Temperature, K",Weight fraction of N-methyldiethanolamine,Weight fraction of 1-butylpyridinium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ziQqr,298.15,0.2573,0,86,1020.5,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,298.15,0.3,0,86,1024.7,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,298.15,0.3,0.05,86,1034.6,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,298.15,0.3,0.1,86,1043.4,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,298.15,0.3,0.2,86,1061.2,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,298.15,0.5,0,86,1042.5,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,298.15,0.5,0.05,86,1051.4,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,298.15,0.5,0.1,86,1059.6,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,298.15,0.5,0.2,86,1075.5,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,313.15,0.2573,0,86,1013.5,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,313.15,0.3,0,86,1017.1,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,313.15,0.3,0.05,86,1026.3,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,313.15,0.3,0.1,86,1034.7,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,313.15,0.3,0.2,86,1050.6,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,313.15,0.5,0,86,1032.8,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,313.15,0.5,0.05,86,1041.3,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,313.15,0.5,0.1,86,1049,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,313.15,0.5,0.2,86,1064.4,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,323.15,0.3,0,86,1009.6,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,323.15,0.3,0.05,86,1018.8,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,323.15,0.3,0.1,86,1028.1,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,323.15,0.3,0.2,86,1045,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,323.15,0.5,0,86,1026,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,323.15,0.5,0.05,86,1034.2,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,323.15,0.5,0.1,86,1041.7,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,323.15,0.5,0.2,86,1056.7,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,333.15,0.3,0,86,1002.7,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
ziQqr,333.15,0.3,0.05,86,1009.3,Damanafshan et al. (2018),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,AADYJk,O,water
