setid,"Temperature, K",Weight fraction of 1-octyl-4-methylpyridinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BNxlP,288.15,0,100,999.094,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,288.15,0.01,100,1000.54,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,288.15,0.015,100,1001.29,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,288.15,0.02,100,1002.09,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,293.15,0,100,998.203,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,293.15,0.01,100,999.566,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,293.15,0.015,100,1000.32,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,293.15,0.02,100,1001.1,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,298.15,0,100,997.042,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,298.15,0.01,100,998.379,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,298.15,0.015,100,999.123,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,298.15,0.02,100,999.874,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,303.15,0,100,995.646,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,303.15,0.01,100,996.945,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,303.15,0.015,100,997.706,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,303.15,0.02,100,998.407,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,308.15,0,100,994.023,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,308.15,0.01,100,995.3,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,308.15,0.015,100,996.048,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
BNxlP,308.15,0.02,100,996.742,Mehrdad and Ghorbanipour (2019),Density,Liquid,ABDCpZ,CCCCCCCC[n+]1ccc(C)cc1.[Br-],1-octyl-4-methylpyridinium bromide,AADYJk,O,water,,,
