setid,"Temperature, K","MolaRity of benzyltrimethylammonium bromide, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LVTAk,288.15,0.02021,101,1000.2,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,288.15,0.02971,101,1000.7,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,288.15,0.042,101,1001.4,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,288.15,0.06282,101,1002.5,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,288.15,0.08357,101,1003.6,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,288.15,0.1049,101,1004.7,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,288.15,0.1256,101,1005.8,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,288.15,0.1587,101,1007.6,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,298.15,0.02021,101,998.2,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,298.15,0.02971,101,998.7,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,298.15,0.042,101,999.3,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,298.15,0.06282,101,1000.4,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,298.15,0.08357,101,1001.5,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,298.15,0.1049,101,1002.6,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,298.15,0.1256,101,1003.7,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,298.15,0.1587,101,1005.3,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,308.15,0.02021,101,995.1,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,308.15,0.02971,101,995.6,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,308.15,0.042,101,996.2,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,308.15,0.06282,101,997.3,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,308.15,0.08357,101,998.4,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,308.15,0.1049,101,999.5,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,308.15,0.1256,101,1000.5,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
LVTAk,308.15,0.1587,101,1002.1,Tutaj et al. (2001),Density,Liquid,AAsNDd,C[N+](C)(C)Cc1ccccc1.[Br-],benzyltrimethylammonium bromide,AADYJk,O,water,,,
