setid,"MolaRity of tetrapropylammonium bromide, mol/dm3","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
trRIs,0,101,298.15,936.7,Das et al. (2004),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
trRIs,0.02789,101,298.15,938.76,Das et al. (2004),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
trRIs,0.04946,101,298.15,940.33,Das et al. (2004),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
trRIs,0.0742,101,298.15,942.11,Das et al. (2004),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
trRIs,0.09897,101,298.15,943.88,Das et al. (2004),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
trRIs,0.11155,101,298.15,944.78,Das et al. (2004),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
