setid,"Temperature, K",Mole fraction of trimethylammonium dihydrogen phosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OfeoN,298.15,0,101,1025.9,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
OfeoN,298.15,0.0201,101,1041.43,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
OfeoN,298.15,0.0391,101,1053.47,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
OfeoN,298.15,0.1028,101,1089.8,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
OfeoN,298.15,0.1462,101,1113.92,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
OfeoN,298.15,0.211,101,1148.18,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
OfeoN,298.15,0.3267,101,1196.88,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
OfeoN,298.15,0.3746,101,1213.72,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
OfeoN,298.15,0.4469,101,1236.58,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
OfeoN,298.15,0.5751,101,1270.11,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLSU,C[NH+](C)C.O=P([O-])(O)O,trimethylammonium dihydrogen phosphate,,,
