setid,"Temperature, K",Mole fraction of ammonium chloride (NH4Cl),"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TgUBG,298.15,0,101,1098.3,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,298.15,0.0505,101,1101.2,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,298.15,0.0999,101,1104,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,298.15,0.1702,101,1108.3,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,298.15,0.25,101,1113.4,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,298.15,0.3297,101,1118.4,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,303.15,0,101,1095.2,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,303.15,0.0505,101,1098.1,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,303.15,0.0999,101,1100.8,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,303.15,0.1702,101,1105.2,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,303.15,0.25,101,1110.2,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,303.15,0.3297,101,1115.3,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,308.15,0,101,1092.4,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,308.15,0.0505,101,1095.1,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,308.15,0.0999,101,1097.8,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,308.15,0.1702,101,1102,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,308.15,0.25,101,1107.1,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,308.15,0.3297,101,1112.2,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,313.15,0,101,1089.4,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,313.15,0.0505,101,1092,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,313.15,0.0999,101,1094.7,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,313.15,0.1702,101,1098.9,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,313.15,0.25,101,1104,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,313.15,0.3297,101,1109,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,318.15,0,101,1086.4,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,318.15,0.0505,101,1089.1,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,318.15,0.0999,101,1091.7,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,318.15,0.1702,101,1095.8,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,318.15,0.25,101,1100.8,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,318.15,0.3297,101,1105.9,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,323.15,0,101,1083.4,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,323.15,0.0505,101,1086,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,323.15,0.0999,101,1088.7,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,323.15,0.1702,101,1092.7,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
TgUBG,323.15,0.25,101,1097.7,Oliveira et al. (2015),Density,Liquid,AAKOQZ,[Cl-].[NH4+],ammonium chloride (NH4Cl),AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
