setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium dimethyl phosphate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TZTUu,293.15,0,101,792.1,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,293.15,0.1002,101,964.7,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,293.15,0.1998,101,1062,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,293.15,0.2973,101,1118.1,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,293.15,0.3982,101,1157.9,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,293.15,0.4972,101,1187.2,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,293.15,0.6016,101,1210.9,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,293.15,0.7023,101,1228.6,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,293.15,0.7991,101,1242.7,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,293.15,0.8946,101,1254.1,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,293.15,1,101,1264.9,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,298.15,0,101,787.4,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,298.15,0.1002,101,960.6,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,298.15,0.1998,101,1058.1,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,298.15,0.2973,101,1114.3,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,298.15,0.3982,101,1154.2,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,298.15,0.4972,101,1183.6,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,298.15,0.6016,101,1207.3,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,298.15,0.7023,101,1225.1,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,298.15,0.7991,101,1239.2,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,298.15,0.8946,101,1250.6,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,298.15,1,101,1261.3,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,303.15,0,101,782.7,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,303.15,0.1002,101,956.4,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,303.15,0.1998,101,1054.1,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,303.15,0.2973,101,1110.5,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,303.15,0.3982,101,1150.5,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
TZTUu,303.15,0.4972,101,1180,Zhang et al. (2014d),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
