setid,"MolaLity of 3-methyl-1-pentylimidazolium alaninate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VTKAG,0.0167,288.15,100.3,999.5,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0167,293.15,100.3,998.6,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0167,298.15,100.3,997.4,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0167,303.15,100.3,996,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0167,308.15,100.3,994.4,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0167,313.15,100.3,992.6,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0167,318.15,100.3,990.6,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0167,323.15,100.3,988.4,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0167,328.15,100.3,986,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
VTKAG,0.0222,288.15,100.3,999.7,Tong et al. (2017),Density,Liquid,AAuVqI,CCCCC[n+]1ccn(C)c1.C[C@H](N)C(=O)[O-],3-methyl-1-pentylimidazolium alaninate,AADYJk,O,water,,,
